id;external_code;name;name_so;database_version_id;id_regional_energy_system;id_regional_district
7914;68f7053f-b011-5c5e-8577-11e74042c063;ТЭЦ НЛМК;;22;842;934
7775;0d84c76b-fa81-56f1-9db9-f12ada1375e1;ТЭЦ НПО ЦКТИ;;22;824;971
8295;ca2bd7da-c248-5068-a77d-4e35e6c50c9f;ТЭЦ НСРЗ;;22;838;929
8239;db2f9b23-db43-589f-9f2a-d34cc52e341b;ТЭЦ НХК г. Нальчик;;22;830;921
8066;598ccd9f-c368-52f0-af6c-1378cc4f472e;ТЭЦ ОАО «Атмис-сахар»;;22;852;947
7778;a6209295-b5b2-54e6-9e42-f301d4b24cfc;ТЭЦ Обуховоэнерго;;22;824;971
8492;5772a317-9674-5f20-bc9f-809091c4e307;ТЭЦ ОМЗ;;22;836;927
8683;46c82d54-87c9-5c9a-8c26-57b8a830bb94;ТЭЦ ООО «Автокотельная»;;22;884;983
8068;ee4285c0-c575-5d41-aa02-92ed38870161;ТЭЦ ООО «Бековский сахарный комбинат»;;22;852;947
8006;d72e9d78-4a75-5144-9626-2ca3cbd7915f;ТЭЦ ООО «Кристалл»;;22;879;978
8542;9c269eee-3e6c-5db0-a77f-f027d0c41efd;ТЭЦ ООО «Лысьва-теплоэнерго»;;22;853;948
8046;804be910-f4a6-5206-93f0-f4ed4bf83513;ТЭЦ ООО «Ромодановосахар»;;22;865;962
8507;703445c6-9b7b-57e1-8ea3-605c7ff03fb9;ТЭЦ ПАО «Гайский ГОК»;;22;850;945
8586;afa97e5f-95c3-50ea-9aa2-166e8d9fa9a6;ТЭЦ ПАО «НМЗ»;;22;875;974
8706;79cfae29-e34a-542b-a627-873bdaf8dbad;ТЭЦ ПАО «Уральская кузница»;;22;888;987
7861;9a990019-5ad7-5712-b812-7f1cc6c81228;ТЭЦ ПВС Северсталь;;22;821;914
7777;88e525a8-516a-5afa-8758-04d72c5bc219;ТЭЦ Пикалёвского глинозёмного завода;;22;824;933
7669;70555d35-97b8-5ce6-b56e-5f05a70ba111;ТЭЦ ПЛ «Энергетика»;;22;815;908
8479;2f7abdac-2001-5c59-bd5b-22ad17360f7f;ТЭЦ Раевсахар;;22;856;953
7721;45c40776-ecbb-5ebd-9cbf-f5064fbc4392;ТЭЦ РК-Гранд;;22;861;958
8373;28f2a334-2813-5876-a607-382456d75da3;ТЭЦ Ростсельмашэнерго;;22;870;968
7779;eff1593d-7081-5d5f-b661-1ae09a05c607;ТЭЦ РУСАЛ Бокситогорск;;22;824;933
7849;2ebb40e6-f4ca-58b9-9b7b-f7db1671a65e;ТЭЦ сахарного комбината «Большевик»;;22;817;910
