NAME	YEAR	NUST	NR	E	EWTP	Q	QOTR	H	HFIX	OBOR	VED	OBL	OES	NUMB1120	numb1	v
ТЭЦ БГ-РУСАЛ г.Бокситогорск	2024	24		58.38	58.38	260.3	260.3	2432.5	1	92	3	9	1	85	251	0
ТЭЦ-1 Обуховэнерго	2024	24.9		93.165499	93.165499	514.76458	496.522	3741.6		10	3	9	1	835	257	0
ТЭЦ ООО ПГ Фосфорит	2024	44		253.407472	179.972472			5759.3	1	92	3	9	1	1063	259	0
ТЭЦ АО ЕвроХим-Северо-Запад	2024	12		97.70224				8141.9	1	92	3	9	1	164	259.1	0
Тихвинская ТЭЦ	2024	55		293.716608				5340.3	1	24	4	9	1	3143	260.1	0
Волховская ТЭЦ	2024	12		31.18716				2598.9		10	3	9	1	836	261	0
УТЭЦ ВФ АО Апатит	2024	32.1		271.00034				8442.4	1	92	3	9	1	212	262.1	0
ГПТЭС ООО Петербургцемент	2024	25.22		140.74323				5580.6	1	89	3	9	1	945	262.3	0
ТЭЦ НИТИ им.Александрова	2024	20							1	92	3	9	1	1188	262.5	0
ГУП ТЭК СПб	2024	21		45.785046	45.785046	1234.279346	306.595666	2180.2	1	90	3	9	1	3003	262.65	0
ГТ ТЭЦ Балтика - СПб	2024	7.1	7.1	42.507249	42.507249	94.353248	31.326581	5986.9	1	90	3	9	1	1265	262.7	0
ТЭЦ КНАУФ ПЕТРОБОРД	2024	12		73.714212	73.714212	701.1	530	6142.9	1	92	3	9	1	1333	262.9	0
ТЭС ООО Вирео Энерджи	2024	2.4		0.052064				21.7	1	24	1	9	1	3144	262.91	0
ТЭС ООО ВВСС (Пулково)	2024	10.5		33.3889	33.3889	58.3173	35.303811	3179.9		90	3	9	1	3145	262.92	0
ТЭС ООО Айкон Тайерс	2024	12		82.614853	82.614853	39.631	39.631	6884.6	1	89	3	9	1	3214	262.925	0
ЭСН КС Портовая	2024	10.5		0.218229				20.8	1	24	4	9	1	3202	262.93	0
Калининградская ТЭЦ-1	2024					407.279		0		95	2	10	1	89	265	0
ТЭС г.Гусев	2024	8.5				82.574			1	10	2	10	1	90	271	0
Калининградская ТЭЦ-2	2024	900		3435.415982	285.522472	316.038	314	3817.1		91	2	10	1	91	277	0
Маяковская ТЭС (г.Гусев)	2024	160.26	160.26	84.685828				528.4		20	1	10	1	1743	282.55	0
Прегольская ТЭС (г.Калиниград)	2024	463.063	463.063	1126.513159				2432.7		21	1	10	1	1741	282.6	0
Талаховская ТЭС (г.Советск)	2024	161.1		136.307808				846.1		20	1	10	1	1605	282.7	0
Приморская ТЭС (г.Светлый)	2024	195	195	71.553667				366.9		2	1	10	1	1608	282.9	0
ТЭЦ ЦБК г.Советск	2024	24	24	44.783	44.783	90.907	90.907	1866		92	3	10	1	94	283	0
Энергетический центр г. Санкт-Петербург	2024	5.5							1	89	3	9	1	953	353	0
	2024	24.9	24.9		0				1	24	4	9	1	3035	353.1	0
