NUMB1120	YearN	H	HFIX	NUST	OES
3115	2022	5112.1	1	6.5	1
3116	2022	1094.2	1	4.6	1
3119	2022	5696.2	1	33.771	4
3132	2022	5446.6	1	12	3
3133	2022	1598.3	1	7.5	2
3136	2022	2106.4	1	6.7	2
3138	2022	9841	1	24	6
3139	2022	7070.9	1	24	6
3140	2022	6409	1	100	1
3141	2022	6743.4	1	6	1
3142	2022	2888.6	1	2.3	1
3144	2022		1	2.4	1
3145	2022	3421.3	1	10.4	1
3160	2022	1009.6	1	15	1
3170	2022	4890.9	1	14	3
3174	2022	4009.4	1	12.1	4
3175	2022	7360.7	1	2.118	2
3180	2022	5525.9	1	52.745	4
3181	2022	4314.5	1	2	4
3183	2022	4395.2	1	7.054	4
3202	2022	2186.7	1	10.5	1
3204	2022	5003.4	1	25.218	4
3207	2022	5910.2	1	6.1	7
3209	2022	2293.8	1	7.93	4
3214	2022	6248.6	1	12	1
3222	2022	1349.9	1	33.9	4
3223	2022	2364.7	1	8	4
3226	2022	6139.9	1	48.4	4
3227	2022	2509.6	1	8.18	3
3230	2022		1	1.1	6
3240	2022	191.4	1	3.9	4
7	2023	4555.5	1	178	1
10	2023	4076.9	1	305	1
25	2023	1395.3	1	22	1
43	2023	2559.7	1	23.259	2
55	2023	6134.3	1	20.5	1
78	2023	6713.4	1	20	1
79	2023	5061.5	1	78	1
82	2023	2419.7	1	18	1
86	2023	4577.6	1	22.8	1
90	2023		1	8.5	1
115	2023	8435.2	1	345.81	2
120	2023	348.4	1	3	2
127	2023		1	4.3	3
164	2023	7282.8	1	12	1
204	2023	845.3	1	24	2
209	2023	3385.9	1	24.7	2
212	2023	7118.2	1	35.5	1
226	2023	1002.2	1	400	2
234	2023	7856.2	1	24.9	2
241	2023	4807.9	1	101.5	2
242	2023	5830.5	1	24	2
273	2023		1	12	2
282	2023		1	121	4
325	2023	4806.9	1	20.5	3
382	2023		1	16	4
580	2023	4024.7	1	200	6
582	2023	2484.1	1	18	6
612	2023	6226.9	1	24	6
613	2023	2436.7	1	85	6
631	2023	2043.1	1	17	6
632	2023	5602.9	1	24	6
635	2023	5927.8	1	320	6
638	2023	2648.6	1	18.9	6
639	2023		1	6	6
641	2023		1	10	6
683	2023	3757.7	1	410	6
685	2023		1	18	6
771	2023	109.7	1	27.2	7
772	2023	4320.2	1	12	7
777	2023	0	1		7
856	2023	5596.8	1	16	2
857	2023	7298.1	1	12	2
873	2023		1	6	2
875	2023	5633.7	1	22	4
898	2023	63.1	1	24	5
988	2023	3519.6	1	20.252	2
993	2023	5023	1	23	1
1041	2023	122.2	1	82.6	7
1060	2023		1	12	4
1061	2023		1	16	4
1063	2023	5766.4	1	44	1
1068	2023		1	21	9
1128	2023	6731.7	1	24	2
1132	2023	7112.8	1	6	2
1188	2023		1	20	1
1197	2023		1	6	4
1209	2023	2418.7	1	24	6
1248	2023	167.7	1	297.44	6
1265	2023	7871.8	1	7.1	1
1266	2023	7223.1	1	2	3
1272	2023	3.4	1	16	2
1321	2023	1215	1	141	4
1325	2023		1	18	6
1327	2023		1	2.1	2
1328	2023	6367.2	1	12	2
1333	2023	5273.4	1	12	1
1335	2023	5884.8	1	60	1
1337	2023	4566.4	1	11.2	4
1341	2023		1	90	2
1366	2023	5172	1	75	1
1437	2023	3706	1	30	3
1439	2023	7847.6	1	49	3
1443	2023		1	10	6
1478	2023	4249.2	1	8.584	1
1561	2023	578.6	1	4	4
1562	2023	4688.3	1	2.114	4
1571	2023	2383.5	1	28	3
1575	2023	327.8	1	12	6
1593	2023		1	24	6
1771	2023	5800	1	131.91	5
1820	2023	0	1	110	2
1826	2023	63.3	1	49.8	7
1832	2023	1414.6	1	18	2
1836	2023	1862.5	1	7.5	1
1841	2023	3100.7	1	9.5	6
1842	2023		1	18	6
1851	2023		1	13.5	6
1854	2023	3002.7	1	399	6
1950	2023	11.4	1	17.3	6
2053	2023	666.2	1	5	9
