NUMB1120	YearN	H	HFIX	NUST	OES
585	2026	866	1	14.7	6
608	2026	5248	1	600	6
612	2026	6113	1	24.8	6
613	2026	2676	1	85	6
628	2026	6500	1	469.9	6
631	2026	2198	1	17	6
632	2026	5143	1	24	6
635	2026	5111	1	320	6
636	2026	6500	1	421	6
637	2026	6500	1	89.9	6
638	2026	3026	1	18.8	6
639	2026	0	1	6	6
641	2026	1	1	0	6
644	2026	6500	1	60	6
681	2026	3502	1	12	6
682	2026	2689	1	24	6
683	2026	3728	1	410	6
685	2026	723.9726661449	1	18	6
729	2026	137.1	1	224	9
737	2026	2072.3	1	75	9
741	2026	3833	1	30	9
744	2026	1340	1	50	9
755	2026	5130	1	48	9
766	2026	6500	1	170.1	7
771	2026	120	1	27.2	7
772	2026	4500	1	12	7
773	2026	2000	1	80	7
777	2026		1	0	7
829	2026	6500	1	282	5
832	2026	0	1	120	5
856	2026	5823.89143595825	1	16	2
873	2026	0	1	0	2
875	2026	6000	1	22	4
898	2026	0	1	24	5
945	2026	5580	1	25.218	1
946	2026	4130	1	20	2
953	2026	0	1	5.48	1
956	2026	2610	1	12	2
988	2026	3830	1	20.25	2
989	2026	7000	1	24	5
1041	2026	150	1	82.55	7
1060	2026	0	1	12	4
1061	2026		1	16	4
1062	2026		1	6	4
1063	2026	5800	1	44	1
1068	2026	0	1	21	9
1097	2026	3860	1	76	6
1128	2026	6670	1	24	2
1129	2026	2533.00432830387	1	6	2
1132	2026	8919.27514546966	1	6	2
1144	2026	2000	1	12	2
1155	2026	6000	1	24	5
1156	2026	300	1	72	5
1157	2026	260	1	72	5
1188	2026	0	1	20	1
1197	2026	0	1	6	4
1203	2026	4500	1	144.7	5
1209	2026	1740	1	24	6
1211	2026	1908	1	24	6
1214	2026	5002.52019853031	1	4	5
1241	2026	5100	1	43.6	3
1248	2026	269	1	297.44	6
1265	2026	6000	1	7.1	1
1266	2026	7200	1	2	3
1269	2026	8400	1	170	2
1272	2026	0.5	1	16	2
1274	2026	8342	1	144.8	6
1310	2026	4380	1	53	2
1314	2026	0	1	33	7
1321	2026	1000	1	294	4
1323	2026	1600	1	6	5
1325	2026	8233	1	18	6
1327	2026	0	1	2.1	2
1328	2026	6030	1	22.9	2
1333	2026	6150	1	12	1
1335	2026	5860	1	60	1
1337	2026	3830	1	9.75	4
1341	2026	0.05	1	90	2
1350	2026	7400	1	24.2	2
1353	2026	1000	1	2.6	5
1363	2026	2000	1	220	7
1366	2026	6070	1	75	1
1437	2026	3000	1	30	3
1439	2026	7719	1	49	3
1443	2026	3943	1	10	6
1478	2026	4500	1	8.6	1
1505	2026	7300	1	17.92	5
1518	2026	0.05	1	64.8	2
1561	2026	815	1	4	4
1562	2026	4800	1	2.1	4
1565	2026	1900	1	173.587	7
1570	2026	2539	1	36	6
1571	2026	2840	1	28	3
1575	2026	800	1	12	6
1580	2026	420	1	5	3
1587	2026	6500	1	62	9
1588	2026	8630	1	67.259	3
1593	2026	0	1	24	6
1595	2026	2875	1	73	3
1597	2026	7000	1	24.9	5
1610	2026	6000	1	126	7
1701	2026	2500	1	233.609	9
1758	2026	2009.91560686681	1	106	5
1759	2026	8200	1	607.62	5
1761	2026	1200	1	36.9	5
1762	2026	2300	1	10	5
1763	2026	8000	1	54.672	5
1766	2026	6800	1	24	5
1770	2026	8000	1	315	5
1771	2026	5800	1	131.908	5
1799	2026	2653	1	144	6
1814	2026	3770	1	19.9	5
1817	2026	1440	1	25	9
1820	2026	0	1	110	2
1826	2026	0	1	46.2	7
1832	2026	1305.26674857549	1	18	2
1836	2026	1700	1	7.5	1
1837	2026	3600	1	8.202	4
1841	2026	3069	1	9.5	6
1842	2026	0	1	18	6
1851	2026	4019	1	13.5	6
1854	2026	2966	1	384	6
1865	2026	5300	1	3.5	5
1891	2026	935	1	25	6
1938	2026	10000	1	24	5
1950	2026	50	1	17.3	6
1952	2026	4000	1	18.4	5
2053	2026	600	1	5	9
2066	2026	8000	1	106.5	5
2070	2026	0	1	139.46	7
2072	2026	80	1	2.166	3
2073	2026	500	1	12	1
2074	2026	100	1	9	1
2075	2026	2	1	9	1
2077	2026	325	1	15.6	6
2084	2026	7600	1	72	5
2088	2026	8300	1	450	2
3003	2026	2200	1	21	1
3007	2026	7543	1	6	4
3011	2026	7335	1	206.4	6
3014	2026	3720	1	40	2
3015	2026	1000	1	3	5
3032	2026	5000	1	12	5
3034	2026	3500	1	14.4	5
3035	2026	0	1	24.9	1
3036	2026	7500	1	21.2	5
3037	2026	2100	1	34.53	5
3038	2026	2200	1	15	5
3039	2026	8600	1	60	5
3040	2026	4000	1	14.92	5
3041	2026	5895	1	12.45	2
3054	2026	4122.52400745139	1	8	5
3055	2026	60.0000000000001	1	7.5	2
3056	2026	7000	1	16	2
3057	2026	4057.1800702509	1	24	5
3061	2026	7477.03830685856	1	24.9	5
3062	2026	0	1	153	4
3063	2026	5800	1	7.28	4
3064	2026	3550	1	6	6
3065	2026	1	1	86	4
3068	2026	0	1	33	4
3074	2026	400	1	18	4
3075	2026	900	1	20.4	4
3081	2026	0	1	23.4	2
3087	2026	4050	1	24	3
3088	2026	4620	1	13.69	2
3089	2026	4860	1	23.496	3
3090	2026	165	1	131.8	4
3091	2026	105	1	135	4
3092	2026	110	1	129.3	4
3095	2026	503.848010880147	1	10.8	4
3099	2026	2000	1	2.7	1
3100	2026	6290.85868230988	1	200	5
3115	2026	5200	1	6.5	1
3116	2026	300	1	4.62	1
3119	2026	2200	1	33.8	4
3124	2026	7000	1	28.85	5
3132	2026	4600	1	12	3
3133	2026	800	1	7.5	2
3134	2026	3757.09592788999	1	17	2
3135	2026	5350	1	6.2	2
3136	2026	3050	1	6.704	2
3138	2026	7971	1	24	6
3139	2026	8502	1	24	6
3140	2026	6650	1	100	1
3141	2026	4200	1	6	1
3142	2026	1350	1	2.3	1
3143	2026	5340	1	55	1
3144	2026	100	1	2.4	1
3145	2026	3180	1	10.4	1
3148	2026	7800	1	23.902	5
3149	2026	7200	1	8.6	5
3150	2026	300	1	12	5
3151	2026	4000	1	9	5
3153	2026	4700	1	20	5
3154	2026	5200	1	20	5
3155	2026	7370	1	42.99	3
3159	2026	5764.96308415993	1	18	5
3160	2026	6700	1	15	1
3161	2026	2680	1	6	2
3162	2026	4500	1	280	2
3163	2026	363.57726311527	1	8	5
3164	2026	0	1	12	5
3165	2026	8389.6537725	1	16	5
3166	2026	6200	1	14.5	5
3167	2026	0	1	3.09	5
3169	2026	7500	1	92	5
3170	2026	2523	1	14	3
3171	2026	7911	1	18	3
3172	2026	0	1	55	3
3173	2026	2000	1	20.5	4
3174	2026	3900	1	12.078	4
3175	2026	7230	1	2.12	2
3176	2026	7200	1	3.55	3
3177	2026	5850	1	24.9	5
3178	2026	3545.39265324867	1	6	2
3180	2026	5310	1	52.7	4
3181	2026	4500	1	2	4
3183	2026	4300	1	7.1	4
3184	2026	5035	1	12.504	3
3185	2026	4200	1	24	3
3186	2026	1369	1	162	6
3189	2026	1200	1	15.4	5
3190	2026	6500	1	35.84	5
3191	2026	5000	1	4.3	5
3192	2026	6300	1	16	5
3193	2026	6370	1	2.4	5
3194	2026	6000	1	25.8	5
3195	2026	5700	1	55.9	5
3199	2026	6500	1	300.24	5
3201	2026	7000	1	77.4	5
3202	2026	30	1	10.5	1
3204	2026	3510	1	25.2	4
3205	2026	500	1	4	5
3206	2026	6300	1	4.5	5
3207	2026	5600	1	6	7
3209	2026	1300	1	8.1	4
3211	2026	8050	1	16	5
3212	2026	2500	1	5.2	5
3213	2026	0	1	6.45	5
3214	2026	6900	1	12	1
3219	2026	5291.9792	1	72	7
3221	2026	5500	1	207.108	5
3222	2026	1310	1	33.9	4
3223	2026	2600	1	8	4
3224	2026	2850	1	30	7
3226	2026	7242	1	48.37	4
3227	2026	2200	1	8.2	3
3228	2026	8000	1	16	3
3229	2026	4200	1	8	5
3230	2026	6774	1	1.1	6
3231	2026	3270	1	13.93	5
3232	2026	5500	1	13.26	7
3240	2026	6742	1	3.9	4
3241	2026	6000	1	14.3	5
3581	2026	0	1	198	4
3606	2026	4500	1	8.6	1
7	2027	4400	1	178	1
10	2027	4150	1	305	1
22	2027	4250	1	24	1
25	2027	1400	1	22	1
39	2027	5271.99999999999	1	512.7	1
42	2027	490	1	53.06	1
43	2027	2660	1	23.253	2
55	2027	7234	1	20.5	1
78	2027	6325	1	20	1
79	2027	5061.46666666667	1	78	1
82	2027	2000	1	18	1
84	2027	5150	1	93	1
85	2027	2450	1	24	1
86	2027	4800	1	22.8	1
90	2027		1	8.5	1
94	2027	1900	1	24	1
115	2027	8540	1	345.8	2
116	2027	7337.39721954244	1	189.8	2
117	2027	6440	1	159	2
120	2027	1200	1	3	2
126	2027	3400	1	656.21	2
127	2027	0	1	4.3	3
142	2027	1310	1	43	2
164	2027	8142	1	12	1
204	2027	1070	1	24	2
209	2027	3545	1	24.7	2
212	2027	8442	1	35.518	1
226	2027	2380	1	400	2
234	2027	7682.6111424578	1	24.9	2
239	2027	5190	1	105	2
241	2027	3900	1	101.5	2
242	2027	5957.03337396161	1	24	2
248	2027	6750	1	6.72	5
272	2027	7521	1	332	2
273	2027	0	1	12	2
282	2027	0.05	1	121	4
325	2027	5075	1	20.5	3
355	2027	5100	1	54	3
382	2027	0	1	6	4
386	2027	6000	1	130	4
433	2027	6670	1	494.783	3
435	2027	7990	1	149.9	5
436	2027	2115	1	24	5
437	2027	3965	1	108	5
438	2027	2015	1	70.5	5
455	2027	7300	1	24.5	5
456	2027	7400	1	300	5
457	2027	7500	1	208.77	5
458	2027	7700	1	101	5
459	2027	5800	1	229	5
460	2027	4000	1	36	5
461	2027	0	1	6	5
472	2027	6500	1	42	5
483	2027	7300	1	23.6	5
487	2027	5200	1	24	5
497	2027	6500	1	172	5
506	2027	6013.91304347826	1	23	5
511	2027	6200	1	458	5
526	2027	0	1	8.001	5
533	2027	1688.2599362149	1	10	5
551	2027	7300	1	119.57	5
565	2027	6500	1	1200	6
580	2027	3775	1	200	6
582	2027	2440.21885999078	1	18	6
584	2027	6500	1	140	6
585	2027	866	1	14.7	6
608	2027	5248	1	600	6
612	2027	6113	1	24.8	6
613	2027	2676	1	85	6
628	2027	6500	1	469.9	6
631	2027	2198	1	17	6
632	2027	5143	1	24	6
635	2027	5111	1	320	6
636	2027	6500	1	421	6
637	2027	6500	1	89.9	6
638	2027	3026	1	18.8	6
639	2027	0	1	6	6
641	2027	1	1	0	6
644	2027	6500	1	60	6
676	2027	6500	1	452.8	6
681	2027	3502	1	12	6
682	2027	2689	1	24	6
683	2027	3728	1	410	6
685	2027	723.9726661449	1	18	6
691	2027	6700	1	50	7
704	2027	5800	1	101	7
729	2027	137.1	1	224	9
737	2027	2072.3	1	75	9
741	2027	3833	1	30	9
744	2027	1340	1	50	9
755	2027	5130	1	48	9
764	2027	5300	1	360	7
771	2027	120	1	27.2	7
772	2027	4500	1	12	7
777	2027		1	0	7
829	2027	6500	1	282	5
832	2027	0	1	120	5
856	2027	5823.89143595825	1	16	2
873	2027	0	1	0	2
875	2027	6000	1	22	4
898	2027	0	1	24	5
945	2027	5580	1	25.218	1
946	2027	4130	1	20	2
953	2027	0	1	5.48	1
956	2027	2610	1	12	2
988	2027	3830	1	20.25	2
989	2027	7000	1	24	5
1028	2027	4000	1	280	7
1032	2027	3800	1	410	7
1041	2027	150	1	82.6	7
1060	2027	0	1	12	4
1061	2027		1	16	4
1062	2027		1	6	4
1063	2027	5800	1	44	1
1068	2027	0	1	21	9
1097	2027	3860	1	76	6
1128	2027	6670	1	24	2
1129	2027	2533.00432830387	1	6	2
1132	2027	8919.27514546966	1	6	2
1144	2027	2000	1	12	2
1155	2027	6000	1	24	5
1156	2027	300	1	72	5
1157	2027	260	1	72	5
1185	2027	0	1	275	2
1188	2027	0	1	20	1
1197	2027	0	1	6	4
1203	2027	4500	1	144.7	5
1209	2027	1740	1	24	6
1211	2027	1908	1	24	6
1214	2027	5002.52019853031	1	4	5
1241	2027	5100	1	43.6	3
1248	2027	269	1	297.44	6
1265	2027	6000	1	7.1	1
1266	2027	7200	1	2	3
1269	2027	8400	1	170	2
1272	2027	0.5	1	16	2
1274	2027	8342	1	144.8	6
1291	2027	6700	1	160	7
1298	2027	7100	1	405.6	3
1310	2027	4380	1	53	2
1321	2027	1000	1	294	4
1323	2027	1600	1	6	5
1325	2027	8233	1	18	6
1327	2027	0	1	2.1	2
1328	2027	6030	1	22.9	2
1333	2027	6150	1	12	1
1335	2027	5860	1	60	1
1337	2027	3830	1	9.75	4
1341	2027	0.05	1	90	2
1350	2027	7400	1	24.2	2
1353	2027	1000	1	2.6	5
1366	2027	6070	1	75	1
1437	2027	3000	1	30	3
1439	2027	7719	1	49	3
1443	2027	3943	1	10	6
1478	2027	4500	1	8.6	1
1505	2027	7300	1	17.92	5
1518	2027	0.05	1	64.8	2
1561	2027	815	1	4	4
1562	2027	4800	1	2.1	4
1565	2027	1900	1	173.587	7
1570	2027	2539	1	36	6
1571	2027	2840	1	28	3
1575	2027	800	1	12	6
1580	2027	420	1	5	3
1587	2027	6500	1	62	9
1588	2027	8630	1	67.259	3
1593	2027	0	1	24	6
1595	2027	2875	1	73	3
1597	2027	7000	1	24.9	5
1610	2027	6000	1	126	7
1701	2027	2060	1	283.609	9
1756	2027	0	1	450	7
1758	2027	2009.91560686681	1	106	5
1759	2027	8200	1	607.62	5
1761	2027	1200	1	36.9	5
1762	2027	2300	1	10	5
1763	2027	8000	1	54.672	5
1766	2027	6800	1	24	5
1770	2027	8000	1	315	5
1771	2027	5800	1	131.908	5
1799	2027	2653	1	144	6
1814	2027	3770	1	19.9	5
1817	2027	1440	1	25	9
1820	2027	0	1	110	2
1826	2027	0	1	46.2	7
1832	2027	1305.26674857549	1	18	2
1836	2027	1700	1	7.5	1
1837	2027	3600	1	8.202	4
1841	2027	3069	1	9.5	6
1842	2027	0	1	18	6
1851	2027	4019	1	13.5	6
1854	2027	2966	1	284	6
1865	2027	5300	1	3.5	5
1891	2027	935	1	25	6
1938	2027	10000	1	24	5
1950	2027	50	1	17.3	6
1952	2027	4000	1	18.4	5
2053	2027	600	1	5	9
2066	2027	8000	1	106.5	5
2070	2027	0	1	139.46	7
2072	2027	80	1	2.166	3
2073	2027	500	1	12	1
2074	2027	100	1	9	1
2075	2027	2	1	9	1
2077	2027	325	1	15.6	6
2084	2027	7600	1	72	5
2088	2027	8300	1	450	2
3003	2027	2200	1	21	1
3007	2027	7543	1	6	4
3011	2027	7335	1	206.4	6
3014	2027	3720	1	40	2
3015	2027	1000	1	3	5
3032	2027	5000	1	12	5
3034	2027	3500	1	14.4	5
3035	2027	0	1	24.9	1
3036	2027	7500	1	21.2	5
3037	2027	2100	1	34.53	5
3038	2027	2200	1	15	5
3039	2027	8600	1	60	5
3040	2027	4000	1	14.92	5
3041	2027	5895	1	12.45	2
3054	2027	4122.52400745139	1	8	5
3055	2027	60.0000000000001	1	7.5	2
3056	2027	7000	1	16	2
3057	2027	4057.1800702509	1	24	5
3061	2027	7477.03830685856	1	24.9	5
3062	2027	0	1	153	4
3063	2027	5800	1	7.28	4
3064	2027	3550	1	6	6
3065	2027	1	1	86	4
3068	2027	0	1	33	4
3072	2027	5000	1	90	4
3074	2027	400	1	18	4
3075	2027	900	1	20.4	4
3081	2027	0	1	23.4	2
3087	2027	4050	1	24	3
3088	2027	4620	1	13.69	2
3089	2027	4860	1	23.496	3
3090	2027	165	1	131.8	4
3091	2027	105	1	135	4
3092	2027	110	1	129.3	4
3095	2027	503.848010880147	1	10.8	4
3099	2027	2000	1	2.7	1
3100	2027	6290.85868230988	1	200	5
3115	2027	5200	1	6.5	1
3116	2027	300	1	4.62	1
3119	2027	2200	1	33.8	4
3124	2027	7000	1	28.85	5
3132	2027	4600	1	12	3
3133	2027	800	1	7.5	2
3134	2027	3757.09592788999	1	17	2
3135	2027	5350	1	6.2	2
3136	2027	3050	1	6.704	2
3138	2027	7971	1	24	6
3139	2027	8502	1	24	6
3140	2027	6650	1	100	1
3141	2027	4200	1	6	1
3142	2027	1350	1	2.3	1
3143	2027	5340	1	55	1
3144	2027	100	1	2.4	1
3145	2027	3180	1	10.4	1
3148	2027	7800	1	23.902	5
3149	2027	7200	1	8.6	5
3150	2027	500	1	12	5
3151	2027	4000	1	9	5
3153	2027	4700	1	20	5
3154	2027	5200	1	20	5
3155	2027	7370	1	42.99	3
3159	2027	5764.96308415993	1	18	5
3160	2027	6700	1	15	1
3161	2027	2680	1	6	2
3162	2027	4500	1	280	2
3163	2027	363.57726311527	1	8	5
3164	2027	0	1	12	5
3165	2027	8389.6537725	1	16	5
3166	2027	6200	1	14.5	5
3167	2027	0	1	3.09	5
3169	2027	7500	1	92	5
3170	2027	2523	1	14	3
3171	2027	7911	1	18	3
3172	2027	5500	1	55	3
3173	2027	2000	1	20.5	4
3174	2027	3900	1	12.078	4
3175	2027	7230	1	2.12	2
3176	2027	7200	1	3.55	3
3177	2027	5850	1	24.9	5
3178	2027	3545.39265324867	1	6	2
3180	2027	5310	1	52.7	4
3181	2027	4500	1	2	4
3183	2027	4300	1	7.1	4
3184	2027	5035	1	12.504	3
3185	2027	4200	1	24	3
3186	2027	2528	1	162	6
3189	2027	1200	1	15.4	5
3190	2027	6500	1	35.84	5
3191	2027	5000	1	4.3	5
3192	2027	6300	1	16	5
3193	2027	6370	1	2.4	5
3194	2027	6000	1	25.8	5
3195	2027	5700	1	55.9	5
3199	2027	6500	1	300.24	5
3201	2027	7000	1	77.4	5
3202	2027	30	1	10.5	1
3204	2027	3510	1	25.2	4
3205	2027	500	1	4	5
3206	2027	6400	1	4.5	5
3207	2027	5600	1	6	7
3209	2027	1300	1	8.1	4
3211	2027	8050	1	16	5
3212	2027	2500	1	5.2	5
3213	2027	0	1	6.45	5
3214	2027	6900	1	12	1
3219	2027	5291.9792	1	72	7
3221	2027	5500	1	207.108	5
3222	2027	1310	1	33.9	4
3223	2027	2600	1	8	4
3224	2027	5500	1	30	7
3226	2027	7242	1	48.37	4
3227	2027	2200	1	8.2	3
3228	2027	8000	1	16	3
3229	2027	4200	1	8	5
3230	2027	6774	1	1.1	6
3231	2027	3270	1	13.93	5
3232	2027	5500	1	13.26	7
3240	2027	6742	1	3.9	4
3241	2027	6000	1	14.3	5
3581	2027	0	1	198	4
3606	2027	4500	1	8.6	1
7	2028	4400	1	178	1
10	2028	4150	1	305	1
22	2028	4250	1	24	1
25	2028	1400	1	22	1
39	2028	5271.99999999999	1	512.7	1
42	2028	490	1	53.06	1
43	2028	2660	1	23.253	2
55	2028	7234	1	20.5	1
78	2028	6325	1	20	1
79	2028	5061.46666666667	1	78	1
82	2028	2000	1	18	1
84	2028	5150	1	93	1
85	2028	2450	1	24	1
86	2028	4800	1	22.8	1
90	2028		1	8.5	1
94	2028	1900	1	24	1
115	2028	8540	1	345.8	2
116	2028	7337.39721954244	1	189.8	2
117	2028	6440	1	159	2
120	2028	1200	1	3	2
126	2028	3400	1	656.21	2
127	2028	0	1	4.3	3
142	2028	1310	1	43	2
154	2028	5000	1	896.4	2
164	2028	8142	1	12	1
204	2028	1070	1	24	2
209	2028	3545	1	24.7	2
212	2028	8442	1	35.518	1
226	2028	2380	1	400	2
234	2028	7682.6111424578	1	24.9	2
239	2028	5190	1	105	2
241	2028	3900	1	101.5	2
242	2028	5957.03337396161	1	24	2
248	2028	6750	1	6.72	5
272	2028	7521	1	332	2
273	2028	0	1	12	2
282	2028	0.05	1	121	4
325	2028	5075	1	20.5	3
355	2028	5100	1	54	3
379	2028	4000	1	745	4
382	2028	0	1	6	4
386	2028	6000	1	130	4
433	2028	6670	1	494.783	3
435	2028	7990	1	149.9	5
436	2028	2115	1	24	5
437	2028	3965	1	108	5
438	2028	2015	1	70.5	5
455	2028	7300	1	24.5	5
456	2028	7400	1	300	5
457	2028	7500	1	208.77	5
458	2028	7700	1	101	5
459	2028	5800	1	229	5
460	2028	4000	1	36	5
461	2028	0	1	6	5
472	2028	6500	1	42	5
483	2028	7300	1	23.6	5
487	2028	5200	1	24	5
497	2028	6500	1	172	5
506	2028	6013.91304347826	1	23	5
511	2028	6200	1	458	5
526	2028	0	1	8.001	5
533	2028	1688.2599362149	1	10	5
551	2028	7300	1	119.57	5
559	2028	6500	1	536.5	6
565	2028	6500	1	1200	6
580	2028	3775	1	200	6
582	2028	2440.21885999078	1	18	6
584	2028	6500	1	140	6
585	2028	866	1	14.7	6
608	2028	5248	1	600	6
612	2028	6113	1	24.8	6
613	2028	2676	1	85	6
628	2028	6500	1	469.9	6
631	2028	2198	1	17	6
632	2028	5143	1	24	6
635	2028	5111	1	320	6
636	2028	6500	1	421	6
637	2028	6500	1	89.9	6
638	2028	3026	1	18.8	6
639	2028	0	1	6	6
641	2028	1	1	0	6
644	2028	6500	1	60	6
671	2028	0	1	65	6
676	2028	6500	1	452.8	6
681	2028	3502	1	12	6
682	2028	2689	1	24	6
683	2028	3728	1	410	6
685	2028	723.9726661449	1	18	6
691	2028	6600	1	50	7
704	2028	5800	1	101	7
706	2028	5600	1	1055	7
707	2028	4600	1	412	7
708	2028	4830	1	574	7
718	2028	5900	1	110	7
720	2028	6400	1	360	7
724	2028	5500	1	720	7
729	2028	137.1	1	224	9
737	2028	2072.3	1	75	9
741	2028	3833	1	30	9
744	2028	1340	1	50	9
755	2028	5130	1	48	9
764	2028	5330	1	360	7
771	2028	120	1	27.2	7
772	2028	4500	1	12	7
777	2028		1	0	7
829	2028	6500	1	282	5
832	2028	0	1	120	5
856	2028	5823.89143595825	1	16	2
873	2028	0	1	0	2
875	2028	6000	1	22	4
898	2028	0	1	24	5
945	2028	5580	1	25.218	1
946	2028	4130	1	20	2
953	2028	0	1	5.48	1
956	2028	2610	1	12	2
988	2028	3830	1	20.25	2
989	2028	7000	1	24	5
1041	2028	150	1	82.6	7
1060	2028	0	1	12	4
1061	2028		1	16	4
1062	2028		1	6	4
1063	2028	5800	1	44	1
1068	2028	0	1	21	9
1097	2028	3860	1	76	6
1128	2028	6670	1	24	2
1129	2028	2533.00432830387	1	6	2
1132	2028	8919.27514546966	1	6	2
1144	2028	2000	1	12	2
1155	2028	6000	1	24	5
1156	2028	300	1	72	5
1157	2028	260	1	72	5
1186	2028	0	1	275	2
1188	2028	0	1	20	1
1197	2028	0	1	6	4
1203	2028	4500	1	144.7	5
1209	2028	1740	1	24	6
1211	2028	1908	1	24	6
1214	2028	5002.52019853031	1	4	5
1241	2028	5100	1	43.6	3
1248	2028	269	1	297.44	6
1265	2028	6000	1	7.1	1
1266	2028	7200	1	2	3
1269	2028	8400	1	170	2
1272	2028	0.5	1	16	2
1274	2028	8342	1	144.8	6
1291	2028	6600	1	160	7
1310	2028	4380	1	53	2
1321	2028	1000	1	294	4
1323	2028	1600	1	6	5
1325	2028	8233	1	18	6
1327	2028	0	1	2.1	2
1328	2028	6030	1	22.9	2
1333	2028	6150	1	12	1
1335	2028	5860	1	60	1
1337	2028	3830	1	9.75	4
1341	2028	1116	1	90	2
1350	2028	7400	1	24.2	2
1353	2028	1000	1	2.6	5
1366	2028	6070	1	75	1
1437	2028	3000	1	30	3
1439	2028	7719	1	49	3
1443	2028	3943	1	10	6
1478	2028	4500	1	8.6	1
1505	2028	7300	1	17.92	5
1518	2028	0.05	1	64.8	2
1561	2028	815	1	4	4
1562	2028	4800	1	2.1	4
1565	2028	1900	1	173.557	7
1570	2028	2539	1	36	6
1571	2028	2840	1	28	3
1575	2028	800	1	12	6
1580	2028	420	1	5	3
1587	2028	6500	1	62	9
1588	2028	8630	1	67.259	3
1593	2028	0	1	24	6
1595	2028	2875	1	73	3
1597	2028	7000	1	24.9	5
1610	2028	6000	1	126	7
1758	2028	2009.91560686681	1	106	5
1759	2028	8200	1	607.62	5
1761	2028	1200	1	36.9	5
1762	2028	2300	1	10	5
1763	2028	8000	1	54.672	5
1766	2028	6800	1	24	5
1770	2028	8000	1	315	5
1771	2028	5800	1	131.908	5
1799	2028	2653	1	144	6
1814	2028	3770	1	19.9	5
1817	2028	1440	1	25	9
1820	2028	0	1	110	2
1826	2028	0	1	46.2	7
1831	2028	4630	1	80	7
1832	2028	1305.26674857549	1	18	2
1836	2028	1700	1	7.5	1
1837	2028	3600	1	8.202	4
1841	2028	3069	1	9.5	6
1842	2028	0	1	18	6
1851	2028	4019	1	13.5	6
1854	2028	2966	1	284	6
1865	2028	5300	1	3.5	5
1878	2028	0	1	460	6
1891	2028	935	1	25	6
1938	2028	10000	1	24	5
1950	2028	50	1	17.3	6
1952	2028	4000	1	18.4	5
1986	2028	3251	1	550	7
2053	2028	600	1	5	9
2066	2028	8000	1	106.5	5
2070	2028	0	1	139.46	7
2072	2028	80	1	2.166	3
2073	2028	500	1	12	1
2074	2028	100	1	9	1
2075	2028	2	1	9	1
2077	2028	325	1	15.6	6
2084	2028	7600	1	72	5
2088	2028	8300	1	450	2
3003	2028	2200	1	21	1
3007	2028	7543	1	6	4
3011	2028	7335	1	206.4	6
3014	2028	3720	1	40	2
3015	2028	1000	1	3	5
3032	2028	5000	1	12	5
3034	2028	3500	1	14.4	5
3035	2028	0	1	24.9	1
3036	2028	7500	1	21.2	5
3037	2028	2100	1	34.53	5
3038	2028	2200	1	15	5
3039	2028	8600	1	60	5
3040	2028	4000	1	14.92	5
3041	2028	5895	1	12.45	2
3054	2028	4122.52400745139	1	8	5
3055	2028	60.0000000000001	1	7.5	2
3056	2028	7000	1	16	2
3057	2028	4057.1800702509	1	24	5
3061	2028	7477.03830685856	1	24.9	5
3062	2028	0	1	153	4
3063	2028	5800	1	7.28	4
3064	2028	3550	1	6	6
3065	2028	1	1	86	4
3068	2028	0	1	33	4
3074	2028	400	1	18	4
3075	2028	900	1	20.4	4
3081	2028	0	1	23.4	2
3087	2028	4050	1	24	3
3088	2028	4620	1	13.69	2
3089	2028	4860	1	23.496	3
3090	2028	165	1	131.8	4
3091	2028	105	1	135	4
3092	2028	110	1	129.3	4
3095	2028	503.848010880147	1	10.8	4
3099	2028	2000	1	2.7	1
3100	2028	6290.85868230988	1	200	5
3115	2028	5200	1	6.5	1
3116	2028	300	1	4.62	1
3119	2028	2200	1	33.8	4
3124	2028	7000	1	28.85	5
3132	2028	4600	1	12	3
3133	2028	800	1	7.5	2
3134	2028	3757.09592788999	1	17	2
3135	2028	5350	1	6.2	2
3136	2028	3050	1	6.704	2
3138	2028	7971	1	24	6
3139	2028	8502	1	24	6
3140	2028	6650	1	100	1
3141	2028	4200	1	6	1
3142	2028	1350	1	2.3	1
3143	2028	5340	1	55	1
3144	2028	100	1	2.4	1
3145	2028	3180	1	10.4	1
3148	2028	7800	1	23.902	5
3149	2028	7200	1	8.6	5
3150	2028	500	1	12	5
3151	2028	4000	1	9	5
3153	2028	4700	1	20	5
3154	2028	5200	1	20	5
3155	2028	7370	1	42.99	3
3159	2028	5764.96308415993	1	18	5
3160	2028	6700	1	15	1
3161	2028	2680	1	6	2
3162	2028	4500	1	280	2
3163	2028	363.57726311527	1	8	5
3164	2028	0	1	12	5
3165	2028	8389.6537725	1	16	5
3166	2028	6200	1	14.5	5
3167	2028	0	1	3.09	5
3169	2028	7500	1	92	5
3170	2028	2523	1	14	3
3171	2028	7911	1	18	3
3172	2028	5500	1	55	3
3173	2028	2000	1	20.5	4
3174	2028	3900	1	12.078	4
3175	2028	7230	1	2.12	2
3176	2028	7200	1	3.55	3
3177	2028	5850	1	24.9	5
3178	2028	3545.39265324867	1	6	2
3180	2028	5310	1	52.7	4
3181	2028	4500	1	2	4
3183	2028	4300	1	7.1	4
3184	2028	5035	1	12.504	3
3185	2028	4200	1	24	3
3186	2028	2528	1	162	6
3189	2028	1200	1	15.4	5
3190	2028	6500	1	35.84	5
3191	2028	5000	1	4.3	5
