numb1120	v	year	formtxt
1205	0	2021	maztop=0,01;gaz_prir
1205	0	2023	maztop=0,02;gaz_prir
1205	0	2022	maztop=0,02;gaz_prir
1205	0	2024	gaz_prir
1231	0	2022	gaz_prir
1231	0	2023	gaz_prir
1231	0	2021	gaz_prir
1231	0	2024	gaz_prir
1241	0	2024	gaz_prir
1245	0	2023	gaz_prir
1245	0	2021	gaz_prir
1245	0	2024	gaz_prir
1245	0	2022	gaz_prir
1266	0	2026	gaz_prir
1295	0	2024	gaz_prir
1295	0	2022	gaz_prir
1295	0	2023	gaz_prir
1295	0	2021	gaz_prir
1296	0	2024	maztop=0,12;gaz_prir
1296	0	2021	gaz_prir
1296	0	2023	maztop=0,01;gaz_prir
1296	0	2022	maztop=0,01;gaz_prir
1297	0	2021	gaz_prir
1297	0	2023	gaz_prir
1297	0	2022	gaz_prir
1297	0	2024	gaz_prir
1298	0	2023	gaz_prir
1298	0	2022	gaz_prir
1298	0	2024	gaz_prir
1298	0	2021	gaz_prir
1312	0	2023	gaz_prir
1312	0	2024	gaz_prir
1312	0	2022	gaz_prir
1312	0	2021	gaz_prir
1437	0	2022	nft_proch=4,45;prochgaz=22,14;maztop=22,54;gaz_prir
1437	0	2023	nft_proch=3,92;prochgaz=17,74;maztop=23,62;gaz_prir
1437	0	2021	nft_proch=5,83;maztop=20,83;prochgaz=21,34;gaz_prir
1437	0	2024	maztop=24,76;prochgaz=29,32;gaz_prir
1439	0	2024	prochgaz
1439	0	2021	
1439	0	2023	gaz_prir
1439	0	2022	inoe
1440	0	2022	gaz_prir
1440	0	2021	gaz_prir
1440	0	2024	gaz_prir
1440	0	2023	gaz_prir
1441	0	2023	gaz_prir
1441	0	2021	gaz_prir
1441	0	2022	gaz_prir
1441	0	2024	gaz_prir
1442	0	2023	gaz_prir
1442	0	2022	gaz_prir
1442	0	2021	gaz_prir
1442	0	2024	gaz_prir
1454	0	2021	maztop=0,25;gaz_prir
1454	0	2024	gaz_prir
1571	0	2022	gaz_prir
1571	0	2023	gaz_prir
1571	0	2024	gaz_prir
1571	0	2021	gaz_prir
1580	0	2021	gaz_prir
1580	0	2023	gaz_prir
1580	0	2022	gaz_prir
1580	0	2024	gaz_prir
1588	0	2021	gaz_prir
1588	0	2023	gaz_prir
1588	0	2024	gaz_prir
1588	0	2022	gaz_prir
1594	0	2024	gaz_prir
1594	0	2023	gaz_prir
1594	0	2021	gaz_prir
1594	0	2022	gaz_prir
1595	0	2024	gaz_prir
1595	0	2021	gaz_prir
1595	0	2022	gaz_prir
1595	0	2023	gaz_prir
1684	0	2022	gaz_prir
1684	0	2021	maztop=0,01;gaz_prir
1684	0	2024	gaz_prir
1684	0	2023	gaz_prir
1751	0	2022	gaz_prir
1751	0	2024	gaz_prir
1751	0	2021	gaz_prir
1751	0	2023	gaz_prir
1840	0	2024	gaz_prir
1840	0	2023	gaz_prir
1840	0	2021	gaz_prir
1840	0	2022	gaz_prir
1888	0	2022	maztop=0,11;gaz_prir
1888	0	2024	gaz_prir
1888	0	2021	gaz_prir
1888	0	2023	gaz_prir
1889	0	2021	gaz_prir
1889	0	2024	gaz_prir
1889	0	2022	gaz_prir
1889	0	2023	gaz_prir
1961	0	2024	prochgaz=22,45;gaz_prir
1961	0	2025	gaz_prir=77;maztop=2;prochgaz
1961	0	2026	gaz_prir=74;maztop=2;prochgaz
1961	0	2027	gaz_prir=71;maztop=2;prochgaz
1961	0	2021	maztop=0,30;prochgaz=9,05;gaz_prir
1961	0	2029	gaz_prir=65;maztop=2;prochgaz
1962	0	2026	gaz_prir
2072	0	2023	gaz_prir
2072	0	2024	gaz_prir
2072	0	2022	gaz_prir
2072	0	2021	gaz_prir
3046	0	2023	gaz_prir
3046	0	2024	gaz_prir
3046	0	2021	gaz_prir
3046	0	2022	gaz_prir
3087	0	2024	nft_proch=0,05;gaz_prir=40,00;prochgaz
3087	0	2021	nft_proch=0,05;gaz_prir=46,30;prochgaz
3087	0	2023	maztop=0,05;gaz_prir=45,21;prochgaz
3087	0	2022	maztop=0,05;prochgaz=44,76;gaz_prir
3089	0	2023	gaz_prir
3089	0	2021	gaz_prir
3089	0	2022	gaz_prir
3089	0	2024	gaz_prir
3132	0	2021	prochgaz
3132	0	2024	gaz_prir=9,77;prochgaz
3132	0	2022	gaz_prir=9,77;prochgaz
3155	0	2024	gaz_prir
3155	0	2021	gaz_prir
3155	0	2023	gaz_prir
3155	0	2022	gaz_prir
3170	0	2023	gaz_prir
3170	0	2022	gaz_prir
3170	0	2024	gaz_prir
3170	0	2021	gaz_prir
3171	0	2021	gaz_prir
3171	0	2023	gaz_prir
3171	0	2024	gaz_prir
3171	0	2022	gaz_prir
3172	0	2026	prochgaz
3176	0	2024	gaz_prir
3176	0	2023	gaz_prir
3176	0	2021	gaz_prir
3176	0	2022	gaz_prir
3184	0	2026	gaz_prir
3184	0	2023	gaz_prir
3184	0	2022	gaz_prir
3185	0	2021	gaz_prir
3185	0	2023	gaz_prir
3185	0	2024	gaz_prir
3203	0	2024	gaz_prir
3203	0	2021	gaz_prir
3203	0	2022	gaz_prir
3203	0	2023	gaz_prir
3227	0	2024	gaz_prir
3227	0	2023	gaz_prir
3227	0	2022	gaz_prir
3227	0	2021	gaz_prir
3228	0	2023	gaz_prir
3228	0	2021	gaz_prir
3228	0	2024	gaz_prir
3228	0	2022	gaz_prir
