year	n
2021	947
2022	783
2023	777
2024	810
2025	215
2026	49
2027	18
2028	25
2029	5
2030	9
2031	12
2032	3
2033	3
2034	1
2035	8
2036	1
2037	1
2038	1
2039	2
2040	6
2041	3
2042	1
