NAME	YEAR	NUST	NR	E	EWTP	Q	QOTR	H	HFIX	OBOR	VED	OBL	OES	NUMB1120	numb1	v
 	2026	8.6	5.1300188172043	38.7	0	54	34	4500	1	89	3	9	1	3606	256.1	0
 	2026			0	0	3188.675		4908.99116757376		95	3	9	1	3607	256.2	0
	2026	450	450	1760.61506011329	1397.02368121622	2856	2690	3912.47791136287		94	2	1	1	1	1	0
	2026	149.1	149.1	651.345679653744	458.238721275596	1305.6	1200	4368.5156247736		93	2	1	1	3	5	0
 	2026			0	0	400		4755.90735113838		95	2	9	1	1894	206	0
 	2026			0	0	241		4507.44313598999		95	2	9	1	1895	230	0
 БМК	2026	0	0	0	0	588.52		7000		95	2	9	1	1502	243.5	0
 	2026	104.3	104.3	730.1	573.9	466.43	300	7000		91	2	9	1	1503	243.75	0
 	2026			0	0	608		4630.65544590201		95	2	9	1	1892	184	0
	2026	410	410	1276.76895110908	925.383580919348	1776.08	1600	3114.07061246117		94	2	1	1	4	7	0
	2026	18	18	120.66552201859	115.871825710243	82	80	6703.6401121439		90	2	1	1	992	13	0
	2026	178	91.95	783.2	454.491812055878	1660	1650	4400	1	93	3	1	1	7	17	0
	2026	12	5.48	49.7770299395898	49.7770299395898	680	527	4148.08582829915		10	3	1	1	8	19	0
	2026	30	15.6	142.377865261491	142.377865261491	1250	1250	4745.92884204969		10	3	1	1	9	21	0
работает сама на себя	2026	8	0.001	0	0	586.77	0	0		10	3	2	1	20	43	0
	2026	305	147.77	1265.75	836.474928076777	3718	3715	4150	1	93	3	1	1	10	23	0
	2026	48	33.69	262.5	262.5	2850	2500	5468.75		10	3	1	1	11	25	0
	2026	230	167	523.480049431192	479.101286002222	1525	1360	2276.00021491823		93	2	2	1	15	33	0
	2026	12	12	12.312366796244	11.2	670	70	1026.03056635367		92	2	2	1	16	35	0
 	2026			0	0	1508		4200		95	2	2	1	1022	44.1	0
	2026	280	254	1369.36327922312	854.221771315628	1769.519	1600	4890.58314008258		94	2	3	1	21	45	0
	2026	24	13	102	97.7190578372729	1110.5	690	4250	1	92	3	3	1	22	51	0
	2026	24	15.5426639784946	88.5990517551382	88.5990517551382	1024	904	3691.62715646409		10	3	3	1	23	53	0
	2026	60	49.9273185483871	351.6	175.590061672763	680	510	5860	1	93	3	3	1	1335	56	0
	2026	48	25	184.627489085571	184.627489085571	1192	1192	3846.40602261607		10	3	3	1	1336	56.5	0
	2026	22	5.01612903225806	30.8	26.4923619271445	400	30	1400	1	92	3	3	1	25	57	0
