NAME	YEAR	NUST	NR	E	EWTP	Q	QOTR	H	HFIX	OBOR	VED	OBL	OES	NUMB1120	numb1	v
	2026	1060	1060	3394.75488690117	0	254	250	3202.59894990677		3	1	4	1	26	59	0
	2026	0	0	0	0	1022.69		4200		95	2	4	1	28	65	0
	2026	78	78	316.066664659154	0	0	0	4052.13672639941		1	1	4	1	30	69	0
	2026	192	192	748.080376731707	165.197218343751	412.358	374	3896.25196214431		93	2	4	1	31	71	0
	2026	0	0	0	0	419.3		2959.15716905084		95	2	4	1	33	75	0
	2026	275	275	1201.37623833091	0		0	4368.64086665786		1	1	4	1	35	79	0
	2026	102	102	439.917677271275	159.614280900391	361	340	4312.91840462035		93	2	4	1	36	81	0
Епрог=496	2026	75	58.4804327956989	455.25	419.42634496613	413	380	6070	1	90	3	4	1	1366	86.5	0
	2026	0		0	0	2863.555		4200		95	2	4	1	38	95	0
	2026	512.7	326.672774520241	2702.9544	1518.98409935124	4487.61	4400	5271.99999999999	1	94	3	4	1	39	97	0
	2026	12	2.16386693548387	6	0	2.7		500	1	20	4	4	1	2073	99.7	0
	2026	9	0.01	0.9	0			100	1	20	4	4	1	2074	99.8	0
	2026	9	0.002	0.018	0			2	1	20	4	4	1	2075	99.9	0
	2026	100	82.6716088709677	665	0			6650	1	90	3	4	1	3140	99.94	0
	2026	4.62	0.01	1.386	0			300	1	24	4	4	1	3116	99.96	0
 	2026	53.06	5.26462768817204	25.9994	0			490	1	24	4	4	1	42	100.1	0
	2026	6.5	4.76988575268817	33.8	0			5200	1	89	3	4	1	3115	100.2	0
 	2026	4.8	0.01	33.19092	0			6914.775		92	2	4	1	3121	100.3	0
	2026	6	3.94475806451613	25.2	0			4200	1	92	3	4	1	3141	100.4	0
	2026	2.3	1	3.105	0			1350	1	92	3	4	1	3142	100.5	0
	2026	440	440	451.694171674977	0	60	10	1026.57766289768		3	1	7	1	50	133	0
	2026	2.7	1.0494623655914	5.4	4.887126474858	103	100	2000	1	1	4	7	1	3099	146.1	0
	2026	140	140	501.522395123291	170.232917878514	1800	500	3582.30282230922		94	2	8	1	1403	148	0
	2026	210	210	1215.30027077574	404.298032325194	300	290	5787.14414655112		91	2	8	1	1404	148.5	0
	2026	24.5	24.5	48.4261048313607	0			1976.57570740248		90	2	8	1	1903	154.5	0
	2026	15	14.625	100.5	0			6700	1	92	3	8	1	3160	154.6	0
	2026	20.5	18.3242258064516	148.297	13.7500137312843	91	91	7234	1	92	3	8	1	55	155	0
	2026	7.5	1.71141935483871	12.75	12.1218500575093	30	28	1700	1	90	3	8	1	1836	156	0
	2026	1500	1500	1458.86390189199	0	0	0	972.575934594659		4	1	9	1	58	161	0
	2026	795	795	2718.44406951289	0			3419.42650253193		21	1	9	1	1477	161.5	0
	2026	280	280	1322.46719307263	846.932382500323	2800	2400	4723.09711811653		94	2	9	1	59	163	0
 	2026	0	0	0	0	1548.14		4440.66911559509		95	2	9	1	993	177	0
 	2026	100	100	580.604533989187	495.534203001518	932.13	660	5806.04533989187		90	2	9	1	994	179	0
	2026	180	180	751.433308216286	566.813957509881	981.12	900	4174.62949009048		94	2	9	1	923	182	0
	2026	463	463	2086.07370747354	1248	1000	1000	4505.55876344177		91	2	9	1	1044	187	0
	2026	135	135	800.682294261284	697.6	1956.98	1600	5930.97995749099		93	2	9	1	63	189	0
	2026	360	360	2004.03756549156	1482.0966391152	1749.1	900	5566.77101525433		91	2	9	1	66	195	0
	2026	246	246	1137.53959307921	952.717252465804	1550	1550	4624.14468731385		94	2	9	1	71	204	0
	2026	82	60	422.435300103761	406.187788561309	1540	1300	5151.65000126538		93	2	9	1	70	205	0
	2026	223	223	724.238576529712	506.617497252092	1138.64	970	3247.70662120947		94	2	9	1	74	212	0
	2026	27.5	27.5	84.891098349648	74.8872318290756	200	196	3086.94903089629		93	2	9	1	73	213	0
	2026	500	500	2066.03770337954	1719.9	3250	3150	4132.07540675909		94	2	9	1	75	217	0
	2026	750	750	2474.87153943402	1471.23289915303	2617.83	2400	3301.16205257869		96	2	9	1	833	227	0
	2026	457	457	2708.85725753855	1502.01971947906	1200	1120	5927.47758761171		91	2	9	1	834	229	0
	2026	900	880	6300	1727.64573970548	1800	1760	7000		91	2	9	1	77	235	0
	2026	460	460	3220	1460.25588871574	1323.23	1070	7000		91	2	9	1	1348	236.6	0
	2026	18	18	92.3154590654649	0			5128.63661474805		90	2	9	1	1870	236.91	0
	2026	20	14.5990887096774	126.5	28.4913771257086	130	108	6325	1	92	3	9	1	78	237	0
	2026	22.8	16.0852647849462	109.44	103.943374621366	760	700	4800	1	92	3	9	1	86	253	0
	2026			0	0	434.322		4200		95	2	10	1	89	265	0
	2026	78	46.7635	394.7944	379.61	2000	1870	5061.46666666667	1	93	3	9	1	79	239	0
	2026	18	0.272799731182796	36	30.9644167623421	379.05	68	2000	1	92	3	9	1	82	245	0
	2026	93	63.8121397849462	478.95	454.152720657568	2340	2200	5150	1	94	3	9	1	84	249	0
	2026	24	8.7825	58.8	56.0699193238571	268.832	250	2450	1	92	3	9	1	85	251	0
	2026	24.9	19.3931935483871	93.8180976875144	93.8180976875144	569.59	500	3767.79508785198		10	3	9	1	835	257	0
	2026	44	28.6299120234604	255.2	0			5800	1	92	3	9	1	1063	259	0
 	2026	12	11.4404771505376	97.704	0			8142	1	92	3	9	1	164	259.1	0
	2026	55	31.4104112903226	293.7	0			5340	1	24	4	9	1	3143	260.1	0
	2026	12	6.26387096774193	30.7568989916858	30.7568989916858	300	220	2563.07491597382		10	3	9	1	836	261	0
 	2026	35.518	33.7952699156175	299.842956	0			8442	1	92	3	9	1	212	262.1	0
 	2026	25.218	7.20529569892473	140.71644	0			5580	1	89	3	9	1	945	262.3	0
	2026	20	0	0	0	0	0	0	1	92	3	9	1	1188	262.5	0
 (тепло от 2х котельных с ГПА)	2026	21	6.9	46.2	46.05	1200	307	2200	1	90	3	9	1	3003	262.65	0
	2026	7.1	0.001	42.6	40.7072022957118	94	30	6000	1	90	3	9	1	1265	262.7	0
	2026	12	10.4146451612903	73.8	70.9325436226415	700	510	6150	1	92	3	9	1	1333	262.9	0
	2026	2.4	0.01	0.24	0			100	1	24	1	9	1	3144	262.91	0
	2026	10.4	4.69166666666667	33.072	31.2100498158683	58	33	3180	1	90	3	9	1	3145	262.92	0
 	2026	12	7.20285887096774	82.8	72.961062173551	40	35	6900	1	89	3	9	1	3214	262.925	0
 	2026	10.5	0.04	0.315	0			30	1	24	4	9	1	3202	262.93	0
	2026	8.5	0.5		0	81.996			1	10	2	10	1	90	271	0
	2026	900	900	3501.53189777931	284.798	332.39	314	3890.59099753257		91	2	10	1	91	277	0
	2026	160.26	160.26	85.9090799191079	0			536.060650936652		20	1	10	1	1743	282.55	0
	2026	463.06	463.063	1148.17440770824	0			2479.53700969256		21	1	10	1	1741	282.6	0
	2026	161.1	161.1	245.555296872638	0			1524.24144551607		20	1	10	1	1605	282.7	0
	2026	195	195	72.2293177207069	0			370.406757542087		2	1	10	1	1608	282.9	0
	2026	24	5.53	45.6	42.8583167412851	90	87	1900	1	92	3	10	1	94	283	0
 	2026	5.48	0.0001	0	0			0	1	89	3	9	1	953	353	0
 	2026	24.9	19.1498158602151	0	0			0	1	24	4	9	1	3035	353.1	0
