NAME	YEAR	NUST	NR	E	EWTP	Q	QOTR	H	HFIX	OBOR	VED	OBL	OES	NUMB1120	numb1	v	EOTP	EURT	EUST	TURT	TUST	B	GAZ	MAZUT	PROCH	UGOL	PECH	KUZN	KAN	URAL
Набережночелнинская ТЭЦ	2024	1180		3983.641109	2089.365311	4243.82221	4103.84201	3376		94	2	34	3	346	959	0	3650.660025	315.02084338845	1150.034	128.937305316567	547.187	1697.221	1694.272	2.949						
Нижнекамская ТЭЦ-1	2024	880	806	4411.760211	3849.111	16970.708	12294.501	5013.4		94	2	34	3	347	961	0	3876.131548	295.347303316033	1144.805	144.013732367559	2444.015	3588.82	3359.205	83.376	0	0	0	0	0	0
 	2024	724	680	1593.804401	1185.008761	5224.671	4016.146	2201.4		94	2	34	3	1961	963.5	0	1334.005408	434.87080076365	580.12	150.429759117847	785.946	1366.066	1059.436							
	2024	0	0	0	0			0		91	2	34	3	1962	963.75	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0
ТЭЦ Буинского сз	2024	12		27.83904				2319.9		10	3	34	3	350	967	0														
АО Энергоцентр Майский (ЭЦМ)	2024	23.49	23.49	113.579032	113.579032	77.399	70.339	4835.2	1	89	3	34	3	3089	967.1	0	109.609461	186.1303833982	20.401651	193.028449979974	14.940209	35.34186	35.34186							
ТЭЦ АО НижнекамскТехУглерод	2024	12	12	54.483656				4540.3	1	92	3	34	3	3132	968	0	49.174616	469.779977539631	23.10125			23.10125	2.256992125							
ГТ ГПЗ Альметьевск	2024	28	28	79.364	79.364	20	20	2834.4	1	89	3	34	3	1571	970	0	75.839593	141.95751287853	10.766	158.673686849693	107.5879	118.3539	118.3539							
ТЭЦ Нижнекамскнефтехим	2024	67.3		274.00074	274.00074	441.092		4071.3		90	3	34	3	1588	970.5	0	265.779986	260.602056770369	69.262811	133.494751661785	58.883467	128.146278	128.146							
Лемаевская ПГУ-ТЭС	2024	494.783		3297.338802				6664.2		91	3	34	3	433	970.53	0	3163.955366	252.577869330158	799.145105			799.145105	799.145105							
Мини-ТЭЦ Кастамону	2024	42.99		316.795075	316.795075	336.8211		7369		90	3	34	3	3155	970.6	0	300.277537	225.155193676709	67.609047	160	53.891376	121.500423	121.500423							
Мини ТЭС Энергетическое партнерство	2024	12.504		62.948048				5034.2		20	4	34	3	3184	970.61	0														
Мини-ТЭС ТК Майский	2024	43.576		44.827754				1028.7		89	3	34	3	1241	970.611	0														
ГТЭС Аммоний	2024	24	24	99.396	99.396	153.103	153.103	4141.5		90	3	34	3	3185	970.62	0	97.091	339.272146748926	32.940272	160.021508396308	24.499773	57.440045	57.440045							
ГТУ-ТЭС в г. Елабуга	2024	20.47	20.47	31.694	31.694	45.754	40	1548.3		90	2	34	3	3203	970.63	0	30.349	401.965402484431	12.199248			12.199248	12.199248							
ГТЭС АО КМПО	2024	16	16	127.105	127.105	102.379	102.379	7944.1		92	3	34	3	3228	970.64	0	121.33	327.656729580483	39.754591	136.858369392161	14.011423	53.766014	53.766014							
ГТЭС Хаят Кимья	2024	18		142.412119	142.412119	111.97368		7911.8		90	3	34	3	3171	970.71	0	133.684239	273.924542443631	36.619394	160.000010716804	17.91579	54.535184	54.535184							
 	2024							0		90	3	34	3	3172	970.72	0	132.69		33.17		0	33.17	0	0	33.171875	0	0	0	0	0
Йошкар-Олинская ТЭЦ-2	2024	195	195	843.242624	464.594262	953.517	913.449	4324.3		94	2	35	3	352	971	0	755.846775	289.593085847327	218.888	142.709568890749	136.076	354.964	354.956	0.008						
Йошкар-Олинская ТЭЦ-1	2024	3	3	6.600466	6.600466	356.161	13.3575	2200.2		95	2	35	3	354	975	0				165.691358683292	59.0128	59.0128	59.0128							
ТЭЦ Марийского ЦБК	2024	54	54	273.976	99.086	864.463	864.463	5073.6		92	3	35	3	355	977	0	239.914	488.224947272773	117.132	179.303220612103	155.001	272.133	272.133							
Саранская ТЭЦ-2(130 ата)	2024	220		985.68708	618.004212	1211.284	1196.492	4480.4		94	2	36	3	357	981	0	880.280332	309.126478359169	272.117959	131.861465189006	159.721683	431.839642	431.823112	0.01653						
Саранская ТЭЦ-2(90 ата)	2024	60		174.813882	97.44506	188.956	164.084	2913.6		93	2	36	3	358	983	0	150.443578	533.08709528299	80.19953	188.46438324266	35.611476	115.811006	115.808536	0.00247						
ОАО СаранскТеплоТранс	2024					450.45		0		95	2	36	3	3046	993.1	0				156.487956487956	70.49	70.49	70.49							
ТЭЦ Ромодановского сз	2024	12		33.357879	33.357879	221.417	52.445	2779.8		10	3	36	3	1245	994.5	0	31.673879	380.913244001469	12.065	116.178974514152	25.724	37.789	37.789							
ЭСН Торбеевского ЛПУМГ	2024	5		2.095329				419.1		20	4	36	3	1580	996.5	0	2.068699	810.069517121631	1.67579			1.67579	1.67579							
Саранская ГТ-ТЭЦ	2024	18		97.245334	48.792259	10.809889		5402.5		90	2	36	3	1594	996.7	0	95.830107	435.670931683297	41.750392	161.050034833845	1.740933	43.491325	43.491325							
ПГЭС Мордовцемент	2024	72	0	209.859	209.859			2914.7		91	3	36	3	1595	996.9	0	192.923078	278.435190630745	53.716574			53.716574	53.716574							
Чебоксарская ТЭЦ-2	2024	460	460	1629.576022	927.701	1700.794	1668.337	3542.6		94	2	37	3	362	999	0	1449.453983	348.388431728501	504.973	138.78223935409	236.04	741.013	740.995	0.018						
Новочебоксарская ТЭЦ-3	2024	351	351	1145.481523	716.533796	1645.579	1568.496	3263.5		94	2	37	3	363	1001	0	998.729532	361.056710997508	360.598	146.319927514875	240.781	601.379	601.363	0.016						
