NAME	YEAR	NUST	NR	E	EWTP	Q	QOTR	H	HFIX	OBOR	VED	OBL	OES	NUMB1120	numb1	v	EOTP	EURT	EUST	TURT	TUST	B	GAZ	MAZUT	PROCH	UGOL	PECH	KUZN	KAN	URAL
Дзержинская ТЭЦ(тепл)	2024	385		778.642	276.39	695.517	461.555	2022.4		94	2	11	3	847	293	0	660.398	442.048582824297	291.928	166.677450012005	115.927	407.855	407.797	0.058						
Дзержинская ТЭЦ(ПГУ)	2024	180		1146.193	281.198	351.285	347.377	6367.7		91	2	11	3	1312	296	0	1110.348	264.944864132686	294.181	152.722148682694	53.649	347.83	347.83							
Сормовская ТЭЦ	2024	350		1032.527	570.194	1323.353	1268.016	2950.1		94	2	11	3	99	297	0	893.35	343.950299434712	307.268	153.532730873773	203.178	510.446	505.285	5.161						
Нижегородская ГРЭС	2024	139.127	92	771.579896	324.796108	1196.314	1112.836	5545.9		94	3	11	3	100	299	0	687.459648	372.322943964269	255.957	170.684285229463	204.192	460.149	459.409	0.74	0	0	0	0	0	0
Новогорьковская ТЭЦ(130 ата)	2024	205		866.373	657.829	2723.184	1268.067	4226.2		94	2	11	3	102	307	0	754.169	315.237035730718	237.742	170.830175265425	465.202	702.944	702.872	0.072						
Новогорьковская ТЭЦ(ГТУ)	2024	352		2415.167		450.374	450.374	6861.3		90	2	11	3	849	311	0	2307.937	200.212570793743	462.078	147.310901606221	66.345	528.423	528.423							
Автозаводская ТЭЦ	2024	480	480	1695.693476	1158.17452	3120.708564	2839.976433	3532.7		94	2	11	3	108	323	0	1456.435107	327.056796221543	476.337	141.442877778445	441.402	917.739	914.313	3.426						
ТЭЦ Завода им.Свердлова	2024	36		86.79264	86.79264	721.4037	452.8269	2410.9		10	3	11	3	109	325	0	71.999904	339.085174335788	24.4141	167.900026018719	121.1237	145.5378	145.5378							
Саровская ТЭЦ	2024	106.573		468.602432	405.439407	1069.1147	1042.477833	4397		93	2	11	3	1840	326.5	0	426.730724	277.205355384723	118.292042	141.361189776925	151.131326	269.423368	269.423368							
БЦКК 110 кВ ООО БКФ	2024	4.3							1	24	3	11	3	127	326.55	0														
ГПЭС Инженерный центр	2024	3.6		26.261253		10.9985		7294.8		89	2	11	3	3176	326.6	0	24.895667844	269.614984391259	6.71224509717003	145.77	1.603251345	8.31549644217003	8.31549644217003							
Самарская ГРЭС	2024	24		144.704	134.873	750	456.215	6029.3		92	2	30	3	299	839	0	117.431	380.597968168542	44.694	141	105.68	150.374	150.374							
Новокуйбышевская ТЭЦ-1(тепл)	2024	60		255.324	115.958	775.126	393.801	4255.4		93	2	30	3	1296	842	0	221.314	369.569932313365	81.791	144.859029370709	112.284	194.075	193.836	0.239						
Новокуйбышевская ТЭЦ-1(ГТУ)	2024	229.5		1038.574				4525.4		20	1	30	3	1297	842.5	0	990.432	188.991268456593	187.183			187.183	187.183							
Новокуйбышевская ТЭЦ-2	2024	340		633.045	428.6	2524	2090.808	1861.9		94	2	30	3	301	843	0	506.267	534.465015495776	270.582	156.536010475775	358.624	629.206	478.18	0.004						
Безымянская ТЭЦ	2024							0		95	2	30	3	302	845	0				168.8	245.025	245.025	245.025							
Сызранская ТЭЦ(130 ата)	2024	145		281.003	155.38	891.3961	367.4895	1938		94	2	30	3	1205	853.5	0	243.709	336.79921545778	82.081	155.581789061002	138.685	220.766	220.765	0.001						
Сызранская ТЭЦ(ПГУ ТЭЦ)	2024	227.4		1061.637	285.641	294.23	171.614	4668.6		91	2	30	3	1295	854.75	0	1005.608	233.224079362933	234.532	164.463175067124	48.39	282.922	282.922							
Тольяттинская ТЭЦ	2024	545		1471.576	1107.592	3644.692	3518.418	2700.1		94	2	30	3	304	855	0	1260.064	373.428651243111	470.544	139.037811699864	506.75	977.294	977.294							
ТЭЦ ВАЗ (Волжского автозавода)	2024	1172		3357.531	2504.342	5211.449	4784.732	2864.8		94	2	30	3	305	857	0	2919.805	332.43555648408	970.647	134.012172046584	698.3976	1669.0446	1669.036	0.009						
 	2024	330	330	1991.614	1541.468	3916.250773	3403.529773	6035.2		94	2	30	3	1454	862	0	1711.831	268.54578518557	459.705	142.702812560671	558.86	1018.565	1018.565							
Котельные Самарской обл.	2024							0		95	2	30	3	309	865	0				155.8	425.761	425.761	425.761							
ТЭЦ-2 Куйбышевский НПЗ	2024	30		87.887161	68.21517	1160.378	733.985	2929.6	1	92	3	30	3	1437	866	0	50.704601	374.848566503856	19.006547	167.356431266363	194.196721	213.203268	97.889	52.794						
АО Газэнергострой	2024	2.166		0.165206				76.3	1	24	4	30	3	2072	866.2	0	0.1569457	460	0.072195022			0.072195022	0.072195022							
ТЭЦ НкНПЗ	2024	24		97.270062	97.270062	1113.992692	1113.992692	4052.9	1	92	3	30	3	3087	866.3	0	84.878485	237.165448935617	20.130244	161.798195171643	180.242007	200.372251	80.1489004	0.101						
ГПЭЦМИ Кочевненского м/р	2024	8.18		17.61871				2153.9	1	24	4	30	3	3227	866.54	0	17.392522	278.995191151692	4.85243			4.85243	4.85243							
Саратовская ГРЭС	2024	23	23	133.677	133.677	858.458	442.479	5812		92	2	31	3	310	867	0	100.778	371.261584869714	37.415	151.145425868243	129.752	167.167	167.167							
Саратовская ТЭЦ-1	2024							0		95	2	31	3	311	873	0														
Саратовская ТЭЦ-2	2024	109	109	603.401	384.036	1245.866	915.772	5535.8		94	2	31	3	312	875	0	502.516	407.386033479531	204.718	170.246238359503	212.104	416.822	416.799	0.023	0	0	0	0	0	0
Энгельсская ТЭЦ-3	2024	80	80	346.219	218.226	625.885	496.957	4327.7		94	2	31	3	315	883	0	294.99	344.428624699142	101.603	142.92721506347	89.456	191.059	191.059							
Балаковская ТЭЦ-4	2024	370	370	778.801	598.784	1595.353	931.17	2104.9		94	2	31	3	318	891	0	632.227	459.600744669241	290.572	188.081885325693	300.057	590.629	590.629							
Саратовская ТЭЦ-5	2024	445	445	1483.088	1096.129	2007.725	1941.979	3332.8		94	2	31	3	319	897	0	1278.387	299.13398681307	382.409	130.262361628211	261.531	643.94	643.94							
Котельные Саратовской обл.	2024					795.647030991247		0		95	2	31	3	320	899	0				169.08	134.528	134.528	134.528							
ТЭЦ Балаковского филиала Апатит	2024	49	49	378.216865	179.339265	757.826	757.826	7718.7	1	92	3	31	3	1439	900	0	362.377956	54.8053728742816	19.860259			19.860259								
Ульяновская ТЭЦ-1(тепл)	2024	435	435	1247.99887	780.781	2406.767073	2149.252073	2869		94	2	32	3	1684	902	0	1092.285864	283.607991469896	309.781	152.796672401542	367.746	677.527	677.521	0.006						
Ульяновская ТЭЦ-1(кот)	2024							0		95	2	32	3	1202	902.6	0														
Ульяновская ТЭЦ-2	2024	417	417	1053.93	543.351	1550.475	1201.742	2527.4		94	2	32	3	323	905	0	924.893	326.292879284415	301.786	138.991599348587	215.503	517.289	517.28	0.009						
ТЭЦ НИИАР	2024	20.5		104.025652	34.8857	479.535644	342.180644	5074.4	1	92	3	32	3	325	909	0	81.418745	219.603544613713	17.879845	193.721272156361	92.896255	110.7761	110.6431	0.133						
Пензенская ТЭЦ-1(130 ата)	2024	220	220	827.107978	521.614758	1036.591	966.348	3759.6		94	2	33	3	328	912	0	735.59254	301.685265867433	221.917431	131.598805121789	136.414137	358.331568	357.952568	0.379						
Пензенская ТЭЦ-1(90 ата)	2024	90	90	309.715532	183.180923	322.596	312.201	3441.3		93	2	33	3	327	913	0	274.271874	381.50477653425	104.63603	153.167667919007	49.411277	154.047307	154.047307							
Пензенская ТЭЦ-2	2024	16	16	41.38043	41.38043	359.079	235.36	2586.3		10	2	33	3	329	917	0	28.735603	381.786802942677	10.970874	154.144026801902	55.349883	66.320757	66.317757	0.003						
Кузнецкая ТЭЦ-3	2024	4	4	20.699257	20.699257	313.05	123.52	5174.8		10	2	33	3	330	921	0	8.69766	232.922073293277	2.025877	164.840389714103	51.603284	53.629161	53.629161							
Котельные Пензенской обл.	2024					1005.704		0		95	2	33	3	331	923	0				160.444822731142	161.36	161.36	161.358	0.002						
ТЭЦ Каменского сз	2024	12	12	40.593727	40.593727	277.2	252.435	3382.8		10	3	33	3	1440	924	0	36.470727	205.342767090988	7.489	173.203463203463	48.012	55.501	55.501							
ТЭЦ Земетчинского сз	2024	12	12	19.09172	19.09172	119.91	119.91	1591		10	3	33	3	1441	924.2	0	16.227962	162.937403969765	2.644142	169.697222917188	20.348394	22.992536	22.992536							
ТЭЦ Бековского сз	2024	12		20.0676	20.0676	188.144	167.623	1672.3		10	3	33	3	1442	924.4	0	17.258136	195.348848798039	3.371357	146.36683604048	27.538042	30.909399	30.909399							
ТЭЦ ООО Азия Цемент	2024	16		40.366678				2522.9	1	89	3	33	3	3170	924.5	0	37.824456	387.324010687688	14.65032			14.65032	14.65032							
Энергоцентр ЧМПЗ	2024	2		14.376327				7188.2	1	89	3	33	3	1266	924.7	0														
Заинская ГРЭС	2024	2204.9		5740.833805	79.346084	192.4198	181.4008	2603.7		3	1	34	3	332	925	0	5330.987449	375.726452024517	2002.993	175.101522816259	33.693	2036.686	2036.509	0.177						
Казанская ТЭЦ-1(130 ата)	2024	167		461.501664	168.414802	502.41834	486.48534	2763.5		94	2	34	3	340	941	0	406.369797	400.128162083857	162.6	157.683336161654	79.223	241.823	241.814	0.008	0.001					
Казанская ТЭЦ-1(ГТУ)	2024	40		117.048382	117.048382	125.00504	125.00504	2926.2		90	2	34	3	1231	942	0	106.649918	269.451683966602	28.737	149.369977402511	18.672	47.409	47.409							
Казанская ТЭЦ-1(кот)	2024					1350.023		0		95	2	34	3	1888	942.2	0				151.491493107895	204.517	204.517	204.517							
Казанская ТЭЦ-1(ПГУ)	2024	246	246	1599.683873	843.198384	655.73514	632.27314	6502.8		91	2	34	3	1751	942.5	0	1517.550386	211.681933571068	321.238	147.137150526964	96.483	417.721	417.721							
Казанская ТЭЦ-2(130 ата)	2024	165		564.201978	311.396208	801.99484	740.41284	3419.4		94	2	34	3	343	944	0	488.975388	356.071091250916	174.11	145.11439998791	116.381	290.491	290.381	0.007		0.103		0.103		
Казанская ТЭЦ-2(кот)	2024					789.658		0		95	2	34	3	1889	946	0				1054.37543848096	832.596	832.596	832.596							
Казанская ТЭЦ-2(ПГУ)	2024	220		1643.943992	1176.283345	909.10344	899.34344	7472.5		91	2	34	3	1094	949	0	1564.153715	187.074324725176	292.613	146.508080532618	133.191	425.804	425.804							
Котельная Алабуга (Елабужская ТЭЦ)	2024					144.6879		0		95	2	34	3	344	951	0				196.305288832031	28.403	28.403	28.403							
Казанская ТЭЦ-3(тепл)	2024	384		1346.395507	633.127	1994.759	1765.672	3506.2		94	2	34	3	1095	955	0	1222.260716	406.323293793891	496.633	158.652749530144	316.474	813.107	808.651	4.456						
Казанская ТЭЦ-3(ГТУ)	2024	394.4		3246.151224	1797.349	653.398	653.398	8230.6		90	2	34	3	1298	958	0	3077.868649	159.306993220554	490.326	153.603163768484	100.364	590.69	590.69							
