NAME	NUMB1120	Year	E	Q	QOTR	EWTP	EOTP	EURT	EUST	TUST	B	SNK	SNt	TURT	VED
ТЭЦ-1 Архангельского ЦБК	7	2024	792.49356	1654.811	1654.811	455.817	651.710067	452.685964109865	295.02	272.943	567.963	9.11092198654586	41.4428131067536	164.939077634848	3
ТЭЦ-1 Котласского ЦБК	10	2024	1263.691129	3718.201	3718.201	837.19567	1139.760937	293.746687688069	334.801	610.1	944.901	2.93283074870742	23.362983873115	164.084728071452	3
ТЭЦ-2 и 3 Котласского ЦБК	11	2024	125.24872	2842.268	1157.05960380952	121.4912584	55.03030848	227.4	12.513892148352	559.6425692	572.156461348352	1.6	24	196.9	3
